question_id,question,ground_truth,num_attempts,is_correct,final_answer,reflections
5a7613c15542994ccc9186bf,VIVA Media AG changed it's name in 2004. What does their new acronym stand for?,Gesellschaft mit beschränkter Haftung,5,False,VIVA Media GmbH,[]
5adf2fa35542993344016c11,Which of Jonny Craig and Pete Doherty has been a member of more bands ?,"Jonny"" Craig",1,True,Jonny Craig,[]
5adfdef9554299025d62a36b,Where was the first governor after the The Missouri Compromise from?,"Bath, Maine",1,True,"Bath, Maine",[]
5a7180205542994082a3e856,"The creator of ""Wallace and Gromit"" also created what animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes? ",Creature Comforts,1,True,Creature Comforts,[]
5a78bc6b554299148911f979,Woman's Era and Naj are what kind of magazines?,fortnightly women interest magazine,5,False,Fortnightly lifestyle and women's magazines,[]
5abdd0f15542991f6610604d,The Rome Protocols were signed by three Prime Ministers one of which was assassinated as part of what?,a failed coup attempt,5,False,Failed coup attempt by Nazi agents,[]
5a8e27d45542995a26add46a,Jaclyn Stapp is married to the former frontman of a band that disbanded in what year?,2004,1,True,2004,[]
5a881d2355429938390d3eeb, If You Ever Get Lonely was covered by what Lyric Street Records-affiliated band?,Love and Theft,1,True,Love and Theft,[]
5ae4a1ef55429970de88d9e7,When was the  Argentine former footballer which  Dutch manager Ronald Koeman replaced in  2014–15 Southampton F.C. season born,2 March 1972,1,True,2 March 1972,[]
5ae6f2a7554299572ea5464a,"Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?",Tybalt,1,True,Tybalt,[]
5a845d735542996488c2e52e,Stronger Together was used for the campaign comprised of the Vice Presidential candidate who was a Senator from what state?,Virginia,1,True,Virginia,[]
5adf5daf5542995534e8c79d,Are Darren Benjamin Shepherd and Rémi Lange both American?,no,5,False,"No, only Darren Benjamin Shepherd is American.",[]
5a7c49dc55429935c91b514f,"The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree that can be abbreviated MS, M.S., or ScM, in what field?",Engineering,2,True,Engineering,[]
5abe364e5542993f32c2a08e,"Lollipop Chainsaw featured Juliet Starling, who was voiced by a Canadian-American actress who has done voice roles for what Teen Titans spinoff series?",Teen Titans Go!,1,True,Teen Titans Go!,[]
5ac557975542993e66e8231c,"What team was led to victory in 1939 by a two-time All-American basketball player nicknamed ""Scat""?",Oklahoma Sooners,1,True,Oklahoma Sooners,[]
5ab28a87554299449642c8ec,"This expansion of the 2008 magazine article ""Is Google Making Us Stoopid?"" was a finalist for what award?",Pulitzer Prize,5,False,2011 Pulitzer Prize in General Nonfiction,[]
5adff056554299603e4183cc,What year did The Chronicle of Philanthropy's publishing overlap with Antic?,1988,4,True,1988,[]
5abd578a5542993062266c5d,The W. H. Shipman House is in what Hawaii county?,Hawaii County,1,True,Hawaii County,[]
5a7b537555429927d897bf90,The trophy given to the winner of the college football game between University of Idaho Vandals and University of Montana Grizzlies is derived from which European culture?,German,3,True,German,[]
5a7dc3275542997cc2c4749c,What stadium does the team who has Kent Baer as the defensive coordinator play its home games?,Sam Boyd Stadium,1,True,Sam Boyd Stadium,[]
5ab5487b554299494045ef68,Operation Cold Comfort was a failed raid by a special forces unit founded in what year?,1941,1,True,1941,[]
5ac2758b55429963665199c3,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920,5,False,"January 10, 1920",[]
5ab7f97a5542991d322237ef,"What is Opry Mills in Nashville, Tennessee?",super-regional shopping mall,1,True,Super-regional shopping mall,[]
5a81e107554299676cceb12a,Ed Oxenbould plays Tyler in a film directed by which famous director?,M. Night Shyamalan,1,True,M. Night Shyamalan,[]
5ab6f7415542991d322236f4,Sadok Sassi played for a national team that made its first World Cup in what year?,1978,1,True,1978,[]
5ac562985542993e66e823ca,Otterington railway station was on a 393 mi major railway that linked Edinburgh to what city?,London,1,True,London,[]
5a87bd4e5542994846c1cde0,Are both Coldplay and Pierre Bouvier from the same country?,no,2,True,No,[]
5aba52e655429939ce03dc94,This term about a playwright who lived from 1564-1616 presented what about his works? ,chronological collection of critical quotations,5,False,Changing reputation and the recognition of William Shakespeare as the supreme playwright and poet of the English language since the late 17th century,[]
5ab58f9a554299488d4d99da,"What is the birthday of this Anglo-Irish actress, courtean, and mistress, who was the mother to the illegitimate daughter of King William IV?",22 November,5,False,"November 22, 1761",[]
5ae67def5542991bbc9760f3,Kenneth L. Gile is the Chief Operating Officer of an airline with its head office in what airport?,Dubai International Airport,1,True,Dubai International Airport,[]
5adeb78a554299728e26c77a,In what state is the manufacturer of Bisquick headquartered?,Minnesota,1,True,Minnesota,[]
5ae66d515542992ae0d16346,"In what year was the singer who popularized ""I'll Keep the Lovelight Burning"" born?",1927,1,True,1927,[]
5a8e60ca5542995a26add4d9,In which movie the Stephanie Kay Panabaker was alongside with her elder sister Danielle Nicole Panabaker?,"""Read It and Weep"" (2006)",5,False,Read It and Weep,[]
5a72a2935542991f9a20c546,Is Velvetpark or Shape magazine written more for a lesbian and queer-identified female readership?,Velvetpark,1,True,Velvetpark,[]
5a7f7b3b5542992097ad2f81,"Which restaurant chain's headquarters is further north, Pizza Inn or Papa Gino's?",Papa Gino's,1,True,Papa Gino's,[]
5a82ebb855429966c78a6a9c,whats the famous bavagheet by arun date?,Shukratara,5,False,Shukratara by Date,[]
5add596f5542990dbb2f7e4d,"Grown-Ups starred the actor who was best known for which role on  ""'Allo 'Allo!""?",Captain Hans Geering,1,True,Captain Hans Geering,[]
5ac4db1d554299076e296e1a,who is a British physicist  and also a  British government's chief scientific adviser,Frederick Alexander,5,False,"Frederick Alexander Lindemann, 1st Viscount Cherwell",[]
5ac532335542994611c8b41c,Howard Van Doren Shaw was the designer of which 1917 Progressive Era community? ,Marktown,1,True,Marktown,[]
5ae7a8d35542994a481bbdbb,Which contest in California pays homage to an American novelist that won the Novel Prize in Literature in 1954?,The Bad Hemingway Contest,5,False,The International Imitation Hemingway Competition,[]
5a8db348554299068b959dc2,"What is the subsidiary of the record company who released ""Love Incredible?""",Vivendi S.A.,5,False,Universal Music Group,[]
5adcbb815542994ed6169bde,"Beer Wars covers the differences between large corporate breweries, and small breweries, such as what brewery that is headquartered in Escondido, california?",Stone Brewing,1,True,Stone Brewing,[]
5ab915ad55429919ba4e239c,"Who did Muhummad Ali fight next, in Houston, after the so-called Fight of the Century with Joe Frazier?",Jimmy Ellis,1,True,Jimmy Ellis,[]
5ab94fa25542996be2020474,"What is represented on the cover art of the studio album that includes the song ""Speed of Sound""?",Baudot code,1,True,Baudot code,[]
5a7ca0ef55429907fabeefd3,"Which professional tennis player was born first, Lucie Hradecká or Raffaella Reggi?",Raffaella Reggi,1,True,Raffaella Reggi,[]
5a7a5b3a5542996c55b2dd71,What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?,Mark Masons' Hall,1,True,Mark Masons' Hall,[]
5abbd3ac55429931dba1458b,Are both Duke Energy and Affiliated Managers Group based in Massachusetts?,no,5,False,"Duke Energy is not based in Massachusetts, but Affiliated Managers Group is based in Massachusetts",[]
5ac3af895542995ef918c1f0,Janne Kyttanen has had work exhibited at which modern art museum in Amsterdam?,Stedelijk Museum Amsterdam,1,True,Stedelijk Museum Amsterdam,[]
5a72dcb45542992359bc31af,What company did Rex Maughan aquire?,Aloe Vera of America,1,True,Aloe Vera of America,[]
5ae1e22a5542997f29b3c160,"The role of ""Celene"" in the film ""Walk All over Me"" was played by an actress that voices what role in the ""Starcraft 2"" triolgy?",Sarah Kerrigan,5,False,"Tricia Helfer as Sarah Kerrigan, the Queen of Blades",[]
5ae6316d5542996de7b71b87,Which FC Barcelona signee was a contender for the Rookie of the Year Award when he played for the Timberwolves?,Ricard Rubio i Vives,5,False,Ricky Rubio,[]
5ade4801554299728e26c6ab,Wolf and Sheep was screened at which 2016 film festival?,69th Cannes Film Festival,5,False,2016 Cannes Film Festival,[]
5a9064c755429916514e74a6,What is the first name of Jack Benny Binion's father?,Lester,1,True,Lester,[]
5addc79d5542995b365fab7b,"Which episode of SpongeBob SquarePants aired first, The Clash of Triton or To SquarePants or Not to SquarePants?""",To SquarePants or Not to SquarePants,1,True,To SquarePants or Not to SquarePants,[]
5ac097b05542996f0d89cc18,"Are Ruggero Deodato from Italy, and Mexican Alejandro Springall, both film directors?",yes,5,False,"Yes, Ruggero Deodato is an Italian film director, and Alejandro Springall is a Mexican film director and producer.",[]
5a79caad5542994f819ef09f,Which professional baseball player was born in 1984 and played as a rookie for the Los Angeles Dogers in 2007?,Matthew Ryan Kemp,5,False,Matt Kemp,[]
5a83a31c554299123d8c2179,Who is the lead vocalist for Maroon 5's sixth studio album?,Adam Levine,1,True,Adam Levine,[]
5a72830e5542994cef4bc2f9,"Where is the company that distributed XXXTentacion's single ""Revenge"" based?","San Francisco, California",1,True,"San Francisco, California",[]
