question_id,question,ground_truth,final_answer,is_correct,majority_votes,num_agents,num_rounds
5a7613c15542994ccc9186bf,VIVA Media AG changed it's name in 2004. What does their new acronym stand for?,Gesellschaft mit beschränkter Haftung,"The new acronym ""GmbH"" stands for ""Gesellschaft mit beschränkter Haftung,"" which translates to ""company with limited liability"" in English.",True,"The new acronym ""GmbH"" stands for ""Gesellschaft mit beschränkter Haftung,"" which translates to ""company with limited liability"" in English.",3,2
5adf2fa35542993344016c11,Which of Jonny Craig and Pete Doherty has been a member of more bands ?,"Jonny"" Craig",Jonny Craig has been a member of more bands than Peter Doherty.,True,Jonny Craig has been a member of more bands than Peter Doherty.,3,2
5adfdef9554299025d62a36b,Where was the first governor after the The Missouri Compromise from?,"Bath, Maine",The first governor after The Missouri Compromise was from Maine.,False,The first governor after The Missouri Compromise was from Maine.,3,2
5a7180205542994082a3e856,"The creator of ""Wallace and Gromit"" also created what animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes? ",Creature Comforts,Creature Comforts,True,Creature Comforts,3,2
5a78bc6b554299148911f979,Woman's Era and Naj are what kind of magazines?,fortnightly women interest magazine,"Woman's Era and Naj are women's magazines focusing on women's interests, lifestyle, and related topics.",False,"Woman's Era and Naj are women's magazines focusing on women's interests, lifestyle, and related topics.",3,2
5abdd0f15542991f6610604d,The Rome Protocols were signed by three Prime Ministers one of which was assassinated as part of what?,a failed coup attempt,Engelbert Dollfuss was assassinated as part of a failed coup attempt by Nazi agents.,True,Engelbert Dollfuss was assassinated as part of a failed coup attempt by Nazi agents.,3,2
5a8e27d45542995a26add46a,Jaclyn Stapp is married to the former frontman of a band that disbanded in what year?,2004,Creed disbanded in 2004.,True,Creed disbanded in 2004.,3,2
5a881d2355429938390d3eeb, If You Ever Get Lonely was covered by what Lyric Street Records-affiliated band?,Love and Theft,Love and Theft,True,Love and Theft,3,2
5ae4a1ef55429970de88d9e7,When was the  Argentine former footballer which  Dutch manager Ronald Koeman replaced in  2014–15 Southampton F.C. season born,2 March 1972,"Mauricio Pochettino, the Argentine former footballer, was born on March 2, 1972.",False,"Mauricio Pochettino, the Argentine former footballer, was born on March 2, 1972.",3,2
5ae6f2a7554299572ea5464a,"Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?",Tybalt,Tybalt,True,"Romeo slays Tybalt, who is Juliet's cousin, in a duel.",3,2
5a845d735542996488c2e52e,Stronger Together was used for the campaign comprised of the Vice Presidential candidate who was a Senator from what state?,Virginia,Virginia,True,Virginia,3,2
5adf5daf5542995534e8c79d,Are Darren Benjamin Shepherd and Rémi Lange both American?,no,"Darren Benjamin Shepherd is American, while Rémi Lange is French.",False,"Darren Benjamin Shepherd is American, while Rémi Lange is French.",3,2
5a7c49dc55429935c91b514f,"The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree that can be abbreviated MS, M.S., or ScM, in what field?",Engineering,Engineering,True,Engineering,3,2
5abe364e5542993f32c2a08e,"Lollipop Chainsaw featured Juliet Starling, who was voiced by a Canadian-American actress who has done voice roles for what Teen Titans spinoff series?",Teen Titans Go!,"The Teen Titans spinoff series Tara Strong has done voice roles for is ""Teen Titans Go!"".",True,Teen Titans Go!,3,2
5ac557975542993e66e8231c,"What team was led to victory in 1939 by a two-time All-American basketball player nicknamed ""Scat""?",Oklahoma Sooners,"The team led to victory in 1939 by the two-time All-American basketball player nicknamed ""Scat"" was the Oklahoma Sooners men's basketball team.",True,"The team led to victory in 1939 by the two-time All-American basketball player nicknamed ""Scat"" was the University of Oklahoma Sooners.",3,2
5ab28a87554299449642c8ec,"This expansion of the 2008 magazine article ""Is Google Making Us Stoopid?"" was a finalist for what award?",Pulitzer Prize,"The expansion of the 2008 magazine article ""Is Google Making Us Stoopid?"" by Nicholas G. Carr, which became the book ""The Shallows: What the Internet Is Doing to Our Brains,"" was a finalist for the 2011 Pulitzer Prize in General Nonfiction.",True,"The expansion of the 2008 magazine article ""Is Google Making Us Stoopid?"" was a finalist for the Pulitzer Prize in General Nonfiction.",3,2
5adff056554299603e4183cc,What year did The Chronicle of Philanthropy's publishing overlap with Antic?,1988,There was no publishing overlap between The Chronicle of Philanthropy and Antic.,False,The Chronicle of Philanthropy's publishing overlapped with Antic magazine from 1988 to June/July 1990.,3,2
5abd578a5542993062266c5d,The W. H. Shipman House is in what Hawaii county?,Hawaii County,The W. H. Shipman House is in Hawaii County.,True,The W. H. Shipman House is in Hawaii County.,3,2
5a7b537555429927d897bf90,The trophy given to the winner of the college football game between University of Idaho Vandals and University of Montana Grizzlies is derived from which European culture?,German,"The trophy given to the winner of the college football game between University of Idaho Vandals and University of Montana Grizzlies, known as The Little Brown Stein, is derived from German culture.",True,The trophy given to the winner of the college football game between University of Idaho Vandals and University of Montana Grizzlies is derived from German culture.,3,2
5a7dc3275542997cc2c4749c,What stadium does the team who has Kent Baer as the defensive coordinator play its home games?,Sam Boyd Stadium,The team for which Kent Baer is the defensive coordinator plays its home games at Sam Boyd Stadium.,True,The team for which Kent Baer is the defensive coordinator plays its home games at Sam Boyd Stadium.,3,2
5ab5487b554299494045ef68,Operation Cold Comfort was a failed raid by a special forces unit founded in what year?,1941,The Special Air Service (SAS) was founded in 1941.,True,The SAS was founded in 1941.,3,2
5ac2758b55429963665199c3,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920,"The League of Nations, where Nicolae Titulescu served two terms as President of the General Assembly, was founded on 10 January 1920.",True,"The League of Nations, where Nicolae Titulescu served two terms as President of the General Assembly, was founded on 10 January 1920.",3,2
5ab7f97a5542991d322237ef,"What is Opry Mills in Nashville, Tennessee?",super-regional shopping mall,"Opry Mills in Nashville, Tennessee is a super-regional shopping mall that opened in 2000 on the former site of the Opryland USA theme park.",True,"Opry Mills in Nashville, Tennessee is a super-regional shopping mall that opened in 2000 on the former site of the Opryland USA theme park.",3,2
5a81e107554299676cceb12a,Ed Oxenbould plays Tyler in a film directed by which famous director?,M. Night Shyamalan,M. Night Shyamalan,True,M. Night Shyamalan,3,2
5ab6f7415542991d322236f4,Sadok Sassi played for a national team that made its first World Cup in what year?,1978,The Tunisia national football team made its first World Cup appearance in the year 1978.,True,Sadok Sassi played for a national team that made its first World Cup appearance in 1978.,3,2
5ac562985542993e66e823ca,Otterington railway station was on a 393 mi major railway that linked Edinburgh to what city?,London,London,True,London,3,2
5a87bd4e5542994846c1cde0,Are both Coldplay and Pierre Bouvier from the same country?,no,"No, Coldplay is a British band, and Pierre Bouvier is Canadian, so they are not from the same country.",True,"No, Coldplay is a British band, and Pierre Bouvier is Canadian, so they are not from the same country.",3,2
5aba52e655429939ce03dc94,This term about a playwright who lived from 1564-1616 presented what about his works? ,chronological collection of critical quotations,"The term ""Timeline of Shakespeare criticism"" likely presents a chronological collection of critical quotations that illustrate the changing perception and growing recognition of William Shakespeare as the supreme playwright and poet of the English language from the late 17th century onwards.",True,"The term ""Timeline of Shakespeare criticism"" likely presents the evolution of critical opinions about William Shakespeare's works from his own time, where he was rated as merely one among many talented playwrights and poets, to the late 17th century and beyond, where he has been considered the supreme playwright and poet of the English language.",3,2
5ab58f9a554299488d4d99da,"What is the birthday of this Anglo-Irish actress, courtean, and mistress, who was the mother to the illegitimate daughter of King William IV?",22 November,"The birthday of Elizabeth Hay, Countess of Erroll, who was the mother to the illegitimate daughter of King William IV, is 17 January 1801.",False,22 November 1761,3,2
5ae67def5542991bbc9760f3,Kenneth L. Gile is the Chief Operating Officer of an airline with its head office in what airport?,Dubai International Airport,Dubai International Airport,True,Dubai International Airport,3,2
5adeb78a554299728e26c77a,In what state is the manufacturer of Bisquick headquartered?,Minnesota,"The manufacturer of Bisquick, General Mills, is headquartered in Golden Valley, Minnesota.",True,Minnesota,3,2
5ae66d515542992ae0d16346,"In what year was the singer who popularized ""I'll Keep the Lovelight Burning"" born?",1927,"The singer who popularized ""I'll Keep the Lovelight Burning,"" Patti Page, was born in 1927.",True,"The singer who popularized ""I'll Keep the Lovelight Burning"" was born in 1927.",3,2
5a8e60ca5542995a26add4d9,In which movie the Stephanie Kay Panabaker was alongside with her elder sister Danielle Nicole Panabaker?,"""Read It and Weep"" (2006)","Stephanie Kay Panabaker was alongside her elder sister Danielle Nicole Panabaker in the Disney film ""Read It and Weep"" (2006).",True,Stephanie Kay Panabaker did not star in a movie alongside her elder sister Danielle Nicole Panabaker.,3,2
5a72a2935542991f9a20c546,Is Velvetpark or Shape magazine written more for a lesbian and queer-identified female readership?,Velvetpark,Velvetpark is more likely to be written for a lesbian and queer-identified female readership compared to Shape magazine.,True,Velvetpark is likely written more for a lesbian and queer-identified female readership compared to Shape magazine.,3,2
5a7f7b3b5542992097ad2f81,"Which restaurant chain's headquarters is further north, Pizza Inn or Papa Gino's?",Papa Gino's,Papa Gino's headquarters is further north than Pizza Inn's headquarters.,True,Papa Gino's headquarters is further north than Pizza Inn's headquarters.,3,2
5a82ebb855429966c78a6a9c,whats the famous bavagheet by arun date?,Shukratara,"The famous Bhavageete by Arun Date is ""Shukratara.""",True,"The famous Bhavageete by Arun Date is ""Shukratara.""",3,2
5add596f5542990dbb2f7e4d,"Grown-Ups starred the actor who was best known for which role on  ""'Allo 'Allo!""?",Captain Hans Geering,"Captain Hans Geering in ""'Allo 'Allo!""",True,"Captain Hans Geering in ""'Allo 'Allo!""",3,2
5ac4db1d554299076e296e1a,who is a British physicist  and also a  British government's chief scientific adviser,Frederick Alexander,"Frederick Alexander Lindemann, 1st Viscount Cherwell",True,"Frederick Alexander Lindemann, 1st Viscount Cherwell",3,2
5ac532335542994611c8b41c,Howard Van Doren Shaw was the designer of which 1917 Progressive Era community? ,Marktown,Marktown,True,Marktown,3,2
5ae7a8d35542994a481bbdbb,Which contest in California pays homage to an American novelist that won the Novel Prize in Literature in 1954?,The Bad Hemingway Contest,"The contest in California paying homage to an American novelist who won the Nobel Prize in Literature in 1954 is The International Imitation Hemingway Competition, also known as ""The Bad Hemingway Contest,"" which honors Ernest Hemingway.",True,"The International Imitation Hemingway Competition or ""The Bad Hemingway Contest"" in Century City, California pays homage to Ernest Hemingway, the American novelist who won the Nobel Prize in Literature in 1954.",3,2
5a8db348554299068b959dc2,"What is the subsidiary of the record company who released ""Love Incredible?""",Vivendi S.A.,"The subsidiary of the record company that released ""Love Incredible"" is Interscope Geffen A&M Records.",False,"The subsidiary of the record company that released ""Love Incredible"" is Interscope Geffen A&M Records.",3,2
5adcbb815542994ed6169bde,"Beer Wars covers the differences between large corporate breweries, and small breweries, such as what brewery that is headquartered in Escondido, california?",Stone Brewing,"The brewery headquartered in Escondido, California, mentioned in Beer Wars is Stone Brewing Co.",True,Stone Brewing Co.,3,2
5ab915ad55429919ba4e239c,"Who did Muhummad Ali fight next, in Houston, after the so-called Fight of the Century with Joe Frazier?",Jimmy Ellis,Muhammad Ali fought Jimmy Ellis next in Houston after the Fight of the Century with Joe Frazier.,True,"Following his fight with Jimmy Ellis, Muhammad Ali's next match in Houston was against Buster Mathis on November 17, 1971, at the Sam Houston Coliseum.",3,2
5ab94fa25542996be2020474,"What is represented on the cover art of the studio album that includes the song ""Speed of Sound""?",Baudot code,"The cover art of the studio album ""X&Y"" by Coldplay includes an abstract representation of the album title ""X&Y"" in the Baudot code.",True,"The cover art of the studio album ""X&Y"" by Coldplay includes an abstract representation of the album title ""X&Y"" in the Baudot code.",3,2
5a7ca0ef55429907fabeefd3,"Which professional tennis player was born first, Lucie Hradecká or Raffaella Reggi?",Raffaella Reggi,Raffaella Reggi was born first before Lucie Hradecká.,True,Raffaella Reggi was born first.,3,2
5a7a5b3a5542996c55b2dd71,What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?,Mark Masons' Hall,Mark Masons' Hall,True,Mark Masons' Hall,3,2
5abbd3ac55429931dba1458b,Are both Duke Energy and Affiliated Managers Group based in Massachusetts?,no,"No, Duke Energy is not based in Massachusetts, but Affiliated Managers Group Inc. is based in Massachusetts.",True,"No, Duke Energy is not based in Massachusetts, but Affiliated Managers Group Inc. is based in Massachusetts.",3,2
5ac3af895542995ef918c1f0,Janne Kyttanen has had work exhibited at which modern art museum in Amsterdam?,Stedelijk Museum Amsterdam,Janne Kyttanen has had work exhibited at the Stedelijk Museum Amsterdam.,True,Janne Kyttanen has had work exhibited at the Stedelijk Museum Amsterdam.,3,2
5a72dcb45542992359bc31af,What company did Rex Maughan aquire?,Aloe Vera of America,Rex Maughan acquired Aloe Vera of America.,True,Rex Maughan acquired Aloe Vera of America.,3,2
5ae1e22a5542997f29b3c160,"The role of ""Celene"" in the film ""Walk All over Me"" was played by an actress that voices what role in the ""Starcraft 2"" triolgy?",Sarah Kerrigan,"Tricia Helfer voiced the character Sarah Kerrigan, the Queen of Blades, in the ""Starcraft 2"" trilogy.",True,"Tricia Helfer voiced the character Sarah Kerrigan, the Queen of Blades, in the ""Starcraft 2"" trilogy.",3,2
5ae6316d5542996de7b71b87,Which FC Barcelona signee was a contender for the Rookie of the Year Award when he played for the Timberwolves?,Ricard Rubio i Vives,Ricky Rubio,False,Ricky Rubio,3,2
5ade4801554299728e26c6ab,Wolf and Sheep was screened at which 2016 film festival?,69th Cannes Film Festival,The film Wolf and Sheep was screened at the 2016 Cannes Film Festival.,False,Wolf and Sheep was screened at the 2016 Cannes Film Festival.,3,2
5a9064c755429916514e74a6,What is the first name of Jack Benny Binion's father?,Lester,Lester.,True,Lester.,3,2
5addc79d5542995b365fab7b,"Which episode of SpongeBob SquarePants aired first, The Clash of Triton or To SquarePants or Not to SquarePants?""",To SquarePants or Not to SquarePants,"""To SquarePants or Not to SquarePants"" aired first.",True,"""To SquarePants or Not to SquarePants"" likely aired before ""The Clash of Triton"" in the series ""SpongeBob SquarePants.""",3,2
