question_id,question,ground_truth,final_answer,is_correct,majority_votes,num_agents,num_rounds
5a7613c15542994ccc9186bf,VIVA Media AG changed it's name in 2004. What does their new acronym stand for?,Gesellschaft mit beschränkter Haftung,"Finish: VIVA Media AG changed its name to VIVA Media GmbH in 2004. The new acronym stands for ""Gesellschaft mit beschränkter Haftung"" which translates to ""company with limited liability"" in English.",False,2,3,3
5adf2fa35542993344016c11,Which of Jonny Craig and Pete Doherty has been a member of more bands ?,"Jonny"" Craig",Jonny Craig has been a member of more bands.,False,2,3,3
5adfdef9554299025d62a36b,Where was the first governor after the The Missouri Compromise from?,"Bath, Maine","William King, the first governor of Maine after the Missouri Compromise, was from Bath, Maine. He played a significant role in Maine's separation from Massachusetts and was a proponent of statehood for Maine.",False,1,3,3
5a7180205542994082a3e856,"The creator of ""Wallace and Gromit"" also created what animation comedy that matched animated zoo animals with a soundtrack of people talking about their homes? ",Creature Comforts,Finish[Creature Comforts].,False,1,3,3
5a78bc6b554299148911f979,Woman's Era and Naj are what kind of magazines?,fortnightly women interest magazine,"Woman's Era is a women's interest magazine published in English in India, focusing on topics relevant to women such as fashion, beauty, health, relationships, and lifestyle. Naj, on the other hand, is a Polish language lifestyle and women's magazine. Both magazines cater to the interests and preferences of women readers, but they are published in different languages and cater to different cultural contexts.",False,1,3,3
5abdd0f15542991f6610604d,The Rome Protocols were signed by three Prime Ministers one of which was assassinated as part of what?,a failed coup attempt,"The Rome Protocols were signed by Italian Prime Minister Benito Mussolini, Austrian Prime Minister Engelbert Dollfuss, and Hungarian Prime Minister Gyula Gömbös on 17 March 1934. Engelbert Dollfuss was assassinated as part of a failed coup attempt by Nazi agents in 1934. Finish[assassination attempt by Nazi agents].",False,1,3,3
5a8e27d45542995a26add46a,Jaclyn Stapp is married to the former frontman of a band that disbanded in what year?,2004,"Jaclyn Stapp is married to Scott Stapp, the former frontman of the band Creed, which disbanded in 2004. Finish[2004].",False,2,3,3
5a881d2355429938390d3eeb, If You Ever Get Lonely was covered by what Lyric Street Records-affiliated band?,Love and Theft,"Love and Theft, an American country music group signed to Lyric Street Records subsidiary Carolwood Records in 2009, covered ""If You Ever Get Lonely.""",False,2,3,3
5ae4a1ef55429970de88d9e7,When was the  Argentine former footballer which  Dutch manager Ronald Koeman replaced in  2014–15 Southampton F.C. season born,2 March 1972,"Mauricio Pochettino, the Argentine former footballer who was replaced by Dutch manager Ronald Koeman in the 2014–15 Southampton F.C. season, was born on 2 March 1972.",False,2,3,3
5ae6f2a7554299572ea5464a,"Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?",Tybalt,"Benvolio does not slay any character in ""Romeo and Juliet."" The character who slays Juliet's cousin, Tybalt, in a duel is Romeo Montague. Finish[answer].",False,2,3,3
5a845d735542996488c2e52e,Stronger Together was used for the campaign comprised of the Vice Presidential candidate who was a Senator from what state?,Virginia,"Tim Kaine, the Vice Presidential candidate in the 2016 election who co-authored ""Stronger Together: A Blueprint for America's Future"" with Hillary Clinton, was a Senator from Virginia. Finish[Virginia].",False,1,3,3
5adf5daf5542995534e8c79d,Are Darren Benjamin Shepherd and Rémi Lange both American?,no,"Yes, Darren Benjamin Shepherd is American based on being born in San Jose, CA and graduating from San Jose State University in the United States. However, Rémi Lange is French, born in Gennevilliers, Hauts-de-Seine, France. Finish[American; French]",False,1,3,3
5a7c49dc55429935c91b514f,"The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree that can be abbreviated MS, M.S., or ScM, in what field?",Engineering,Engineering,True,2,3,3
5abe364e5542993f32c2a08e,"Lollipop Chainsaw featured Juliet Starling, who was voiced by a Canadian-American actress who has done voice roles for what Teen Titans spinoff series?",Teen Titans Go!,Finish[Teen Titans Go!].,False,2,3,3
5ac557975542993e66e8231c,"What team was led to victory in 1939 by a two-time All-American basketball player nicknamed ""Scat""?",Oklahoma Sooners,Finish[University of Oklahoma Sooners],False,1,3,3
5ab28a87554299449642c8ec,"This expansion of the 2008 magazine article ""Is Google Making Us Stoopid?"" was a finalist for what award?",Pulitzer Prize,"The expansion of the 2008 magazine article ""Is Google Making Us Stoopid?"" by Nicholas G. Carr was a finalist for the 2011 Pulitzer Prize in General Nonfiction.",False,2,3,3
5adff056554299603e4183cc,What year did The Chronicle of Philanthropy's publishing overlap with Antic?,1988,"The correct answer is 1988. The Chronicle of Philanthropy was founded in 1988, which means its publishing overlapped with Antic from April 1988 until June/July 1990.",False,2,3,3
5abd578a5542993062266c5d,The W. H. Shipman House is in what Hawaii county?,Hawaii County,"The W. H. Shipman House is located in Hawaii County, specifically in Hilo, Hawaii.",False,1,3,3
5a7b537555429927d897bf90,The trophy given to the winner of the college football game between University of Idaho Vandals and University of Montana Grizzlies is derived from which European culture?,German,"The trophy given to the winner of the college football game between University of Idaho Vandals and University of Montana Grizzlies is not derived from German culture, as the term ""stein"" is not actually German. Instead, the trophy is likely derived from English culture, where the term ""stein"" has become associated with beer mugs.",False,1,3,3
5a7dc3275542997cc2c4749c,What stadium does the team who has Kent Baer as the defensive coordinator play its home games?,Sam Boyd Stadium,"Yes, Kent Baer is the defensive coordinator for the UNLV Rebels, who play their home games at Sam Boyd Stadium in Whitney, Nevada.",False,2,3,3
5ab5487b554299494045ef68,Operation Cold Comfort was a failed raid by a special forces unit founded in what year?,1941,Finish[1941].,False,2,3,3
5ac2758b55429963665199c3,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920,"Finish[January 10, 1920].",False,2,3,3
5ab7f97a5542991d322237ef,"What is Opry Mills in Nashville, Tennessee?",super-regional shopping mall,"Opry Mills in Nashville, Tennessee is a super-regional shopping mall that opened in 2000 on the former site of the Opryland USA theme park. It is not a showboat or a paddle steamer.",False,3,3,3
5a81e107554299676cceb12a,Ed Oxenbould plays Tyler in a film directed by which famous director?,M. Night Shyamalan,"I agree with Agent 1, Agent 2, and Agent 3 that Ed Oxenbould plays Tyler in the film ""The Visit"", which was directed by M. Night Shyamalan. Finish[answer].",False,1,3,3
5ab6f7415542991d322236f4,Sadok Sassi played for a national team that made its first World Cup in what year?,1978,"Sadok Sassi played for the Tunisian national team, which made its first World Cup appearance in 1978.",False,3,3,3
5ac562985542993e66e823ca,Otterington railway station was on a 393 mi major railway that linked Edinburgh to what city?,London,The correct answer is Newcastle.,False,1,3,3
5a87bd4e5542994846c1cde0,Are both Coldplay and Pierre Bouvier from the same country?,no,"Yes, Coldplay is a British rock band formed in London, England, while Pierre Bouvier is a Canadian singer and guitarist from Canada. They are not from the same country. Finish[No, Coldplay is from the UK and Pierre Bouvier is from Canada.]",False,1,3,3
5aba52e655429939ce03dc94,This term about a playwright who lived from 1564-1616 presented what about his works? ,chronological collection of critical quotations,"The term ""Timeline of Shakespeare criticism"" presents a chronological collection of critical quotations about William Shakespeare and his works, illustrating the evolution of his reputation from being rated as merely one among many talented playwrights and poets in his own time to being considered the supreme playwright and poet of the English language since the late 17th century.",False,2,3,3
